REP,NITROGEN,TRT,CODE,DPT,Week,Height_cm
R1,N100,MOCK,A,7,1,12
R1,N100,201900,B,7,1,14
R1,N10,MOCK,C,7,1,11.5
R1,N10,201900,D,7,1,16
R2,N100,MOCK,A,7,1,15
R2,N100,201900,B,7,1,15
R2,N10,MOCK,C,7,1,15
R2,N10,201900,D,7,1,10
R3,N100,MOCK,A,7,1,13
R3,N100,201900,B,7,1,12
R3,N10,MOCK,C,7,1,14
R3,N10,201900,D,7,1,14
R4,N100,MOCK,A,7,1,10
R4,N100,201900,B,7,1,14
R4,N10,MOCK,C,7,1,12
R4,N10,201900,D,7,1,11
R5,N100,MOCK,A,7,1,12.5
R5,N100,201900,B,7,1,13
R5,N10,MOCK,C,7,1,11
R5,N10,201900,D,7,1,13
R6,N100,MOCK,A,7,1,11.5
R6,N100,201900,B,7,1,13.5
R6,N10,MOCK,C,7,1,9.5
R6,N10,201900,D,7,1,11
R7,N100,MOCK,A,7,1,15.5
R7,N100,201900,B,7,1,13.5
R7,N10,MOCK,C,7,1,16
R7,N10,201900,D,7,1,13.5
R1,N100,MOCK,A,15,2,29.5
R1,N100,201900,B,15,2,28.5
R1,N10,MOCK,C,15,2,30.5
R1,N10,201900,D,15,2,29
R2,N100,MOCK,A,15,2,30.5
R2,N100,201900,B,15,2,39
R2,N10,MOCK,C,15,2,31.5
R2,N10,201900,D,15,2,24.5
R3,N100,MOCK,A,15,2,40.5
R3,N100,201900,B,15,2,42.5
R3,N10,MOCK,C,15,2,35
R3,N10,201900,D,15,2,31.5
R4,N100,MOCK,A,15,2,31
R4,N100,201900,B,15,2,31.5
R4,N10,MOCK,C,15,2,25
R4,N10,201900,D,15,2,33
R5,N100,MOCK,A,15,2,39.5
R5,N100,201900,B,15,2,34
R5,N10,MOCK,C,15,2,28
R5,N10,201900,D,15,2,36
R6,N100,MOCK,A,15,2,35.5
R6,N100,201900,B,15,2,34.5
R6,N10,MOCK,C,15,2,30.5
R6,N10,201900,D,15,2,33.5
R7,N100,MOCK,A,15,2,36
R7,N100,201900,B,15,2,37.5
R7,N10,MOCK,C,15,2,35.5
R7,N10,201900,D,15,2,31.5
R1,N100,MOCK,A,23,3,62
R1,N100,201900,B,23,3,83.5
R1,N10,MOCK,C,23,3,53
R1,N10,201900,D,23,3,57
R2,N100,MOCK,A,23,3,71
R2,N100,201900,B,23,3,68
R2,N10,MOCK,C,23,3,45
R2,N10,201900,D,23,3,51
R3,N100,MOCK,A,23,3,67.5
R3,N100,201900,B,23,3,76
R3,N10,MOCK,C,23,3,51.5
R3,N10,201900,D,23,3,54
R4,N100,MOCK,A,23,3,80.5
R4,N100,201900,B,23,3,76.5
R4,N10,MOCK,C,23,3,50.5
R4,N10,201900,D,23,3,60
R5,N100,MOCK,A,23,3,63.5
R5,N100,201900,B,23,3,74
R5,N10,MOCK,C,23,3,48.5
R5,N10,201900,D,23,3,58
R6,N100,MOCK,A,23,3,57.5
R6,N100,201900,B,23,3,74
R6,N10,MOCK,C,23,3,53.5
R6,N10,201900,D,23,3,68
R7,N100,MOCK,A,23,3,63
R7,N100,201900,B,23,3,87
R7,N10,MOCK,C,23,3,62
R7,N10,201900,D,23,3,55
R1,N100,MOCK,A,31,4,96
R1,N100,201900,B,31,4,111.5
R1,N10,MOCK,C,31,4,72
R1,N10,201900,D,31,4,74
R2,N100,MOCK,A,31,4,87.5
R2,N100,201900,B,31,4,104.5
R2,N10,MOCK,C,31,4,64
R2,N10,201900,D,31,4,72
R3,N100,MOCK,A,31,4,108
R3,N100,201900,B,31,4,110
R3,N10,MOCK,C,31,4,61.5
R3,N10,201900,D,31,4,74
R4,N100,MOCK,A,31,4,118.5
R4,N100,201900,B,31,4,124
R4,N10,MOCK,C,31,4,66.5
R4,N10,201900,D,31,4,71
R5,N100,MOCK,A,31,4,106
R5,N100,201900,B,31,4,113
R5,N10,MOCK,C,31,4,59
R5,N10,201900,D,31,4,82.5
R6,N100,MOCK,A,31,4,101
R6,N100,201900,B,31,4,95
R6,N10,MOCK,C,31,4,66.5
R6,N10,201900,D,31,4,108
R7,N100,MOCK,A,31,4,109
R7,N100,201900,B,31,4,116.5
R7,N10,MOCK,C,31,4,86.5
R7,N10,201900,D,31,4,71
R1,N100,MOCK,A,39,5,129.5
R1,N100,201900,B,39,5,141.5
R1,N10,MOCK,C,39,5,82
R1,N10,201900,D,39,5,88.5
R2,N100,MOCK,A,39,5,129.5
R2,N100,201900,B,39,5,152.5
R2,N10,MOCK,C,39,5,82
R2,N10,201900,D,39,5,91.5
R3,N100,MOCK,A,39,5,154
R3,N100,201900,B,39,5,148
R3,N10,MOCK,C,39,5,82.5
R3,N10,201900,D,39,5,88.5
R4,N100,MOCK,A,39,5,160
R4,N100,201900,B,39,5,152.5
R4,N10,MOCK,C,39,5,81
R4,N10,201900,D,39,5,91.5
R5,N100,MOCK,A,39,5,149.5
R5,N100,201900,B,39,5,149.5
R5,N10,MOCK,C,39,5,88.5
R5,N10,201900,D,39,5,97.5
R6,N100,MOCK,A,39,5,137
R6,N100,201900,B,39,5,151
R6,N10,MOCK,C,39,5,93
R6,N10,201900,D,39,5,103.5
R7,N100,MOCK,A,39,5,140
R7,N100,201900,B,39,5,154
R7,N10,MOCK,C,39,5,97.5
R7,N10,201900,D,39,5,94.5
R1,N100,MOCK,A,47,6,149.5
R1,N100,201900,B,47,6,163
R1,N10,MOCK,C,47,6,91.5
R1,N10,201900,D,47,6,96
R2,N100,MOCK,A,47,6,158.5
R2,N100,201900,B,47,6,178.5
R2,N10,MOCK,C,47,6,90
R2,N10,201900,D,47,6,99
R3,N100,MOCK,A,47,6,177
R3,N100,201900,B,47,6,169
R3,N10,MOCK,C,47,6,91.5
R3,N10,201900,D,47,6,97.5
R4,N100,MOCK,A,47,6,180
R4,N100,201900,B,47,6,175
R4,N10,MOCK,C,47,6,117.5
R4,N10,201900,D,47,6,97.5
R5,N100,MOCK,A,47,6,167.5
R5,N100,201900,B,47,6,172
R5,N10,MOCK,C,47,6,84
R5,N10,201900,D,47,6,103.5
R6,N100,MOCK,A,47,6,116
R6,N100,201900,B,47,6,173.5
R6,N10,MOCK,C,47,6,99
R6,N10,201900,D,47,6,112.5
R7,N100,MOCK,A,47,6,157
R7,N100,201900,B,47,6,172
R7,N10,MOCK,C,47,6,106.5
R7,N10,201900,D,47,6,100.5
R1,N100,MOCK,A,55,7,173.736
R1,N100,201900,B,55,7,187.452
R1,N10,MOCK,C,55,7,103.632
R1,N10,201900,D,55,7,106.68
R2,N100,MOCK,A,55,7,190.5
R2,N100,201900,B,55,7,102
R2,N10,MOCK,C,55,7,103.5
R2,N10,201900,D,55,7,110
R3,N100,MOCK,A,55,7,202.5
R3,N100,201900,B,55,7,201
R3,N10,MOCK,C,55,7,97.5
R3,N10,201900,D,55,7,112.5
R4,N100,MOCK,A,55,7,210.5
R4,N100,201900,B,55,7,205.5
R4,N10,MOCK,C,55,7,94.5
R4,N10,201900,D,55,7,109.5
R5,N100,MOCK,A,55,7,195
R5,N100,201900,B,55,7,201
R5,N10,MOCK,C,55,7,94.5
R5,N10,201900,D,55,7,125
R6,N100,MOCK,A,55,7,195
R6,N100,201900,B,55,7,198
R6,N10,MOCK,C,55,7,109.5
R6,N10,201900,D,55,7,135.5
R7,N100,MOCK,A,55,7,184.5
R7,N100,201900,B,55,7,201
R7,N10,MOCK,C,55,7,122
R7,N10,201900,D,55,7,111
R1,N100,MOCK,A,63,8,210.5
R1,N100,201900,B,63,8,219.5
R1,N10,MOCK,C,63,8,137
R1,N10,201900,D,63,8,146.5
R2,N100,MOCK,A,63,8,222.5
R2,N100,201900,B,63,8,231.5
R2,N10,MOCK,C,63,8,152.5
R2,N10,201900,D,63,8,178.5
R3,N100,MOCK,A,63,8,228.5
R3,N100,201900,B,63,8,233
R3,N10,MOCK,C,63,8,137
R3,N10,201900,D,63,8,180
R4,N100,MOCK,A,63,8,234.5
R4,N100,201900,B,63,8,231.5
R4,N10,MOCK,C,63,8,131
R4,N10,201900,D,63,8,187.5
R5,N100,MOCK,A,63,8,210.5
R5,N100,201900,B,63,8,218
R5,N10,MOCK,C,63,8,134
R5,N10,201900,D,63,8,213.5
R6,N100,MOCK,A,63,8,230
R6,N100,201900,B,63,8,218
R6,N10,MOCK,C,63,8,170.5
R6,N10,201900,D,63,8,233
R7,N100,MOCK,A,63,8,210.5
R7,N100,201900,B,63,8,210.5
R7,N10,MOCK,C,63,8,210.5
R7,N10,201900,D,63,8,183
